V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33
0.912908381263296,1,0.239949455093725,0.222195074638647,0.226274520250289,0.414557405056829,0.0464327155143208,0.515138507918012,0.140262748359304,0.235109205610913,0.0747479946488662,0.649101836151268,0.298155939301873,0.0320146536849142,0.15815434621903,0.0187617100816635,0.407269913298256,0.70526008038832,0.140127768236462,0.115375300813522,0.315205162201843,0.489345074095912,0.0283188325478569,0.36677146195272,0.125385288888381,0.685813427010408,0.0975465158791339,0.720485753895241,0.308109665330212,0.673825792461423,0.0579529056906202,0.0458333242890266,-30
0.210729324688083,0.941242117342662,0.162825257022913,0.584490303700534,0.0274876432385195,0.698751631644356,0.572406302232303,0.725455758610176,0.182757552084555,0,1,0.108964156732458,0.106665272771015,1,0.72067621303767,1,0.409503475265387,0.0820303703021957,0.0327434534413089,0.014016446032178,0.763239136173166,0.109521142029635,0.563092708040652,0.0162499964159251,0.0834841862620261,0.204371718900124,0.0484808606958974,0.0306865970347757,0.344160002274399,0.0163317245052086,0.850748364498208,0.056827071679723,-15
1,0.647164441495661,1,0.11971903568161,1,0.575595551886846,0.513256574097195,0.308351633249556,0.5198163432281,0.144999722831864,0.38693387012656,0.278120069409823,0.77873123561529,0.576985454279798,0.341177788182482,0.601904143892989,0.164719196358521,0.112554445021953,0.645333196824409,0.0579074585966445,0.624880763137863,0.114120149539026,0.0384659463375151,0.4694095628815,0.928279398527052,0.202616655116112,0,0.129862664009604,0.357149059245094,0.505363759925728,0.80828540930647,0.178833542345417,0
0.0316381339408224,0.460522353415442,1,0.0332870094752873,0.29634899424286,0.198239330154978,0.562677869587665,0.229532202760607,1,1,0.804516767298507,0.099853390474974,0.361613781461164,1,0.128411844884281,0.0186350340536389,0.472722346688041,0.256177444561512,0.204762897302768,0.257000196202196,1,0.146392115560537,0.163025255991309,1,0.710405066538242,0.71559646496952,0.314573939811881,0.540313603653162,0.2504973734786,0.336434785235743,0.543215273675672,0.807751621485472,-15
0.476503650082796,1,0.439683054972212,0.245433269470159,1,1,0.22491867061021,0.241346431636994,0.522621969249892,0.136907155321125,0.283262624846718,0.617214424372813,1,0.727792094371267,0.214387102366992,0.791516613010986,0.403878896770064,0.229886631575151,0.214746894355621,0.480185719568275,0.110904917669767,0.311421176008383,0.0992205135736113,0.238499480561401,0.47901577871632,0.172810994993948,0.0465482107579919,0.837255872505602,0.03253202676379,0.224342146046606,0.549665839749033,0.306906040501237,15
1,0.347690906004792,1,0.506013323487873,0.214737947393061,0.248716859269707,0.918134016974039,0.223220481642817,0,0.41001176729116,0.47765774535268,0.640200124472967,0.349030593162145,1,0.988917164317198,0.24781976744958,0.111647180500417,0.805071901473033,0.979964798034564,0.655430005491448,0.415117504701356,0.0348100567335891,0.048730929822429,0.881359786672991,0.905392977057106,0.574184354613636,0.222720305454331,0.769462487546506,0.00534771822254103,0.0798804367274743,0.0471652021678929,1,0
1,0.399666046038173,0.894435315958351,0.395869164448523,0.340983982116971,0.372934343648692,0.274981098562609,0.291341863522893,0.000604178180007344,0.404815362779921,0.415440627621834,0.299090909930995,0.45723795617138,1,0.933800047103495,0.211726877973039,0.27260140037997,0.734935317646161,0.998132777679456,0.745539519587507,0.544645892719031,0.132280624320064,0.306520509493447,0.844130622400429,0.806884203197001,0.576087745999153,0.255342723699414,0.711765445513601,0.0109416327442518,0.21227346878436,0.113368773279681,1,0
1,1,0.41764215235107,0.617271732827629,1,0.634527625232701,0.10342191499383,0.220448078037501,0.205293538203382,0.506886168782662,0.342673042300846,0.416151369336238,0.423147661910533,0.248323921618047,0.775920670629564,0.678997048459722,0.248844932295645,0.485930598221344,0.547075635833712,0.449620451353294,0.029754705984567,1,0.377135563525801,0.131623171598852,0.4871035820332,0.189792218740497,0.101040110722801,0.603730623352573,1,0.347555983749028,0.231589282229745,1,15
0.0513591973360346,1,0.0745558044189641,0.565219776584853,1,0.592057368498231,0.144957229658928,0.187461121118923,0.281546818478725,0.603000738200642,0.306061542085814,0.386105607697965,0.501458276385053,0.0542277198068572,0.732919226050527,0.611635848051716,0.345259673310845,0.316361741098062,0.582814069221156,0.29540347581387,0.069292144415844,1,0.287670469993379,0.406429523643952,0.172892222508465,0.27717365282804,0.43014641903894,0.593619919723797,0.329730362745015,0.345827068445697,0.214562796489719,0.117962620517747,15
0.277745974557833,0.294427998363082,0.836885989026059,1,0.45480513702252,0.580674277429355,0.300292083349354,0.179036685635596,0.220785604706747,0.904449910146447,0.0714618944386842,0.459939581810582,0.203806481752264,0.644765682240137,0.365246499806462,0.0194742817075227,0.274021309265089,0.151659479188797,0.462497771883175,0.300810298093531,0.383317494923082,0.629967589049811,0.23402117758467,0.420829404803235,0.654914896758279,0.437266846886152,0.331463799030206,0.167678708610579,0.549210382484515,0.182127995276811,0.489929513633718,0.840544609747369,-30
