learning Rate,Asymptote,ModelOutput,Endpoint,Rotation,Clamp_Trials
1,12.1941675637214,12.1941675637214,-11.7154809353852,-30,-30
0.662833573126577,11.1076385546276,11.1075674481283,-1.15600953341296,-15,-15
0.00483078333661056,56.2358965042421,2.9171546607096,1.91968605301707,0,0
1,12.3491656897064,12.3491656897064,-10.1541017833776,-15,-15
0.851871947482551,18.963954172454,18.9639541581671,9.87710548366495,15,15
0.10345942311162,27.7809144800973,19.4245766310149,-8.33080179737625,0,0
0.381859664493208,12.2143656759483,12.152872229134,-0.761484071111052,0,0
0.730510578086698,0.74403125379284,0.744030848704139,-1.58640257130575,15,15
0.0079671403322333,31.1377562588039,2.62271854864162,5.5324399700691,15,15
0.0475335896650179,86.0536237119082,35.6901682164875,-22.9011105291196,-30,-30
0.530811032095034,19.2470083566745,19.2423397321584,-11.7270307336809,-30,-30
1,8.26302006705474,8.26302006705474,-4.26205507242613,0,0
0.0220786079496758,65.1955783483337,14.1965909576777,-18.0652792635371,-30,-30
0.910715223791404,19.305331985958,19.3053319859025,-1.95657216833167,0,0
0.851136432490277,12.1087706187102,12.1087706090769,9.69081874974714,30,30
1,11.1735462138103,11.1735462138103,-0.910194652136854,0,0
1,9.96917065101704,9.96917065101704,1.53998671629131,0,0
1,9.10024637422947,9.10024637422947,9.78667649883851,30,30
0.545702483822976,16.5554248941071,16.5526085590749,-2.18751599761472,-15,-15
0.417944956317439,20.1170084938794,20.0647486599915,-10.6671913143706,-15,-15
0.602826690594955,10.318613578288,10.3182132631986,-0.967919612025086,30,30
0.306093011753464,12.645156857551,12.4180458967816,4.23964570027743,30,30
0.00215207499639274,32.4722734546642,0.760492007136289,3.19547290790334,15,15
0.255898879686801,12.0047327493042,11.5398921647206,-5.78519625287202,-15,-15
0.00423473203122306,38.8350929122468,1.77119731008056,-4.21315153250288,0,0
0.0176696685809125,71.4970828125226,12.7317207926679,-13.2748086470729,-15,-15
0,0.751048828012881,0,-8.93712055210297,-30,-30
0.0207820872170422,62.9488726494711,12.9844584276745,0.86995293028788,30,30
1,7.96743792599314,7.96743792599314,-3.50569016403671,0,0
1,6.94290620115822,6.94290620115822,-9.54293161808815,0,0
1,13.995358360035,13.995358360035,1.53917262793333,15,15
0.876991379574443,7.93124300779717,7.93124300702337,5.00816409595832,30,30
0.195326432749656,23.0070349082852,20.8999708411452,-14.0098189000585,-30,-30
1,18.1561629338929,18.1561629338929,-3.70850970328768,15,15
0.562029376621256,1.29706594223711,1.29691842021668,-3.82110470304032,0,0
0,0,0,0.378311184606573,0,0
