learning.Rate,Asymptote,ModelOutput,Endpoint,Rotation,Clamp_Trials
1,9.6588282156746,9.6588282156746,-10.090529939058,-30,-30
0.518505076577156,6.82520398340259,6.82300296094536,-4.19153997534349,-15,-15
0.255525409018534,8.61694315849621,8.28143591099798,4.30803052509853,0,0
0.865154866773683,10.9798900335498,10.9798900306069,-5.48186948680983,-15,-15
0.165608208311418,11.3602171426094,9.80977028007156,3.58032071460798,15,15
0.0491450561852499,17.1389090548452,7.29335565770628,-3.05360234041724,0,0
0.176772443057402,5.49192122233823,4.8456077697849,-3.31159672899834,0,0
1,6.87169306273192,6.87169306273192,3.93230338861426,15,15
1,7.80969822198265,7.80969822198265,8.62570543655626,15,15
0.31990702261672,16.6937606903284,16.4534321341065,-5.96970435867501,-30,-30
0.380983051261026,14.9313663696954,14.8550131255985,-5.47950540374218,-30,-30
1,0.340751379856619,0.340751379856619,-6.89805116014155,0,0
0.956804170498425,0.210508111543685,0.210508111543685,-5.57689324795774,-30,-30
1,3.43806628017678,3.43806628017678,-2.06138972378178,0,0
0.66438510405307,10.9892814625632,10.9892145938743,7.92171118797151,30,30
1,15.5414244030266,15.5414244030266,-8.63992231976579,0,0
1,14.8775527430023,14.8775527430023,-3.99574195082563,0,0
0.691513052909778,12.5891520514528,12.5891217403877,5.30680177869777,30,30
0.570708621981974,9.37559188308456,9.37473627964559,-3.28477558339895,-15,-15
0.487165910624926,10.2192249937187,10.2126307695266,-7.66165650240778,-15,-15
0.564762112249269,13.2353994644915,13.2339942886095,5.60476582157624,30,30
0.565435785017209,13.2092513616742,13.2078726553374,6.675207403376,30,30
1,5.99354293378523,5.99354293378523,2.09133552086976,15,15
0.127893468622692,11.1050901885329,8.64025991646651,-5.85829505408702,-15,-15
0,0,0,-8.27739212351991,0,0
0.728958224695997,5.0265505113833,5.02654759618154,-10.211375411268,-15,-15
0,1.28344178273795,0,-9.39112739695641,-30,-30
0.0247467005727686,111.882664482647,26.9539576211026,11.5112599181566,30,30
0.814988938040199,17.5520714001939,17.552071247612,-4.091234661353,0,0
0.730839450242269,19.0632111792816,19.0632009387729,-7.44957726860982,0,0
0.57617332740499,5.69420937937927,5.69375803861191,-5.22157747908281,15,15
1,8.11721793179646,8.11721793179646,4.65671861181324,30,30
0.664640679751196,13.4742740336732,13.4741927282409,-9.18057630328909,-30,-30
1,10.5331504727927,10.5331504727927,3.45775049013962,15,15
1,7.92835215073891,7.92835215073891,-3.65921367590501,0,0
1,5.867865965476,5.867865965476,-2.7898905170964,0,0
0.0857023462643491,19.5418286573133,12.2484483645284,-6.08577891183679,-30,-30
1,6.63072285512622,6.63072285512622,-0.543379537273984,-15,-15
1,12.7660814711152,12.7660814711152,9.53342970490154,0,0
0.637562801114711,25.0337236968885,25.0333688133354,-10.7556293720586,-15,-15
0.00227317416810873,614.998747617227,15.2043942049204,17.4314071783491,15,15
0.655009482862968,15.4589854460761,15.458858078254,5.49630905876174,0,0
0.636266521910941,16.060186946549,16.0599501547669,-1.88664172063637,0,0
1,5.12386482904414,5.12386482904414,0.714458437337705,15,15
1,11.5200920177621,11.5200920177621,1.44579208867462,15,15
0.00799978797847806,124.124540244458,10.4960941432454,-5.47066682626597,-30,-30
1,3.33669482573662,3.33669482573662,7.10693324528143,-30,-30
0.0140776445920438,69.4436201974894,10.027784603357,15.0805759439039,0,0
1,14.3172529892319,14.3172529892319,1.74758963553378,-30,-30
0.00628882865035038,62.8474339520424,4.21344450579056,4.43934928070188,0,0
0,10.3964229227802,0,2.62629819298479,30,30
0,0.123938309904428,0,4.14514264592942,0,0
0,0,0,9.63942461302562,0,0
0,0.416449766613667,0,6.87173717162226,30,30
1,3.84361508673037,3.84361508673037,7.5646234585243,-15,-15
1,6.19275164817227,6.19275164817227,-0.549130425362462,-15,-15
0,10.6448715531098,0,-58.5590476913539,30,30
0,0,0,-64.0839129035791,30,30
0,0,0,3.59921821509277,15,15
0.0160705877110397,80.5069120505715,13.141566486487,-10.4356212622576,-15,-15
1,6.5943293689116,6.5943293689116,-10.4279162431664,0,0
0,0.038375697554013,0,-8.08913187279932,-15,-15
0,1.17376527405549,0,-6.38902959581476,-30,-30
1,16.8094239099855,16.8094239099855,15.9987860986575,30,30
0.616629035795955,14.3415653236655,14.3411882658527,3.69631591968129,0,0
0.601780210462328,14.6758221542486,14.6752360786178,3.22280907150618,0,0
0.0044450760383577,61.1974523027836,2.92667462249809,5.64209674567157,15,15
0,10.7205714018318,0,-2.26657700982024,30,30
0.00321758726643634,56.4658065363411,1.96667656239761,-6.52321719825047,-30,-30
0.233900490609559,17.2029277548009,16.2851460590242,6.57946777317235,15,15
0,0,0,14.7607040045569,0,0
0,0.936140289854954,0,5.83983773485851,0,0
0.802475982869135,0.552304029601208,0.552304019738477,2.7169732653991,-30,-30
0,0,0,1.2914020792301,-15,-15
0.00519114013246204,26.2491844004988,1.46058990385012,2.80571043762781,0,0
1,2.33975400056325,2.33975400056325,3.88361856463211,-15,-15
0,0,0,-0.21788014479159,15,15
0.97198886320675,2.91853192591442,2.91853192591442,-0.851061705475204,0,0
