learning Rate,Asymptote,ModelOutput,Endpoint,Rotation,Clamp_Trials
0,0,0,2.35948715576367,-30,-30
0,0,0,-1.48905263222999,-15,-15
0.920281212180948,4.52565075392086,4.52565075391712,5.46103230666516,0,0
1,8.43646260619094,8.43646260619094,-3.88372187552069,-15,-15
0.242980682193861,17.7941960998271,16.9615605388448,11.9084752580157,15,15
1,13.9820862101979,13.9820862101979,-4.26599973262736,0,0
1,12.6911868411181,12.6911868411181,0.434374140240424,0,0
0.637214019444517,4.90955639364073,4.90948605439485,2.46575960817597,15,15
0.776430980462667,3.0951770006433,3.09517678476284,9.55489053224107,15,15
0.0484183295311212,54.0793916484403,22.7509678320611,-8.69291388553208,-30,-30
0.297918328793422,13.6881018681621,13.4084567659871,-3.92180547669289,-30,-30
1,11.9964103199434,11.9964103199434,9.57218675474299,0,0
1,17.1569512655215,17.1569512655215,-8.7224667699622,-30,-30
0.184738084094416,16.3908720742477,14.6575839242282,2.03213830618648,0,0
1,7.26519080656108,7.26519080656108,10.683299863939,30,30
0.198908835993419,13.36105521104,12.1960117805335,-1.40083320732702,0,0
0.32218441021451,10.8088629780554,10.6588920431343,3.53672450539138,0,0
0,0.678292294001244,0,2.34831211924546,30,30
0.793830055951269,9.50540429684417,9.50540402491895,-2.80059407355233,-15,-15
1,4.50775805708013,4.50775805708013,-1.77056272072911,-15,-15
0.992817152369308,12.2201536569195,12.2201536569195,8.45202631513777,30,30
1,10.2971346425372,10.2971346425372,2.56831313944827,30,30
0,0,0,10.3907411858436,15,15
1,6.25768415907902,6.25768415907902,8.6602436096523,-15,-15
0,1.09197893498727,0,5.63964329750241,0,0
1,9.87629049420449,9.87629049420449,-4.618990214321,-15,-15
0,0.388312940287651,0,-3.72283939943232,-30,-30
0.416985064803204,14.3518615291943,14.3138964142739,10.7683453354476,30,30
1,12.510171712012,12.510171712012,2.40983102945062,0,0
0.991909874573243,14.3192113876063,14.3192113876063,-3.35491712862233,0,0
0.0688616486101342,19.0877563050724,10.379900235154,6.19498241159654,15,15
0.317472974850201,2.96194972263696,2.91759947417849,8.29852703539649,30,30
1,17.8719313662166,17.8719313662166,-11.3940110331994,-30,-30
0.322615926041823,10.4545831965124,10.3105404075448,0.162718089671858,15,15
0,0,0,6.6193533663085,0,0
0,0,0,3.19920734338419,0,0
