learning Rate,Asymptote,ModelOutput,Endpoint,Rotation,Clamp_Trials
0.00441324797232228,25.319811849292,-1.20240151334927,2.7169732653991,-30,-30
1,4.68182327388736,-4.68182327388736,1.2914020792301,-15,-15
0,0.627223890680411,0,2.80571043762781,0,0
0,0.891853721800681,0,3.88361856463211,-15,-15
0.843991274399276,5.62089187250679,-5.62089186501746,-0.21788014479159,15,15
0,1.0427311625032,0,-0.851061705475204,0,0
0.00117368268448271,14.5679426208679,-0.18697971057684,1.49829171065239,0,0
0.00855194823541863,22.0263777726292,-1.98568712502476,-0.462793884732639,15,15
0,0,0,6.59668700605417,15,15
0,0,0,-7.76748481064692,-30,-30
0,0,0,-95.3593765439469,-30,-30
0,0,0,0.914554962679996,0,0
0,0,0,-14.3357239299763,-30,-30
0,0,0,8.01648875110001,0,0
0.000781043790475156,71.8444938981937,-0.614845794578403,1.10207547109159,30,30
0,0,0,1.43903141546813,0,0
0,0,0,-3.22047507127739,0,0
0.0103235069263648,457.903761461467,-49.3962790205934,-48.3081126357092,30,30
1,2.87875920925232,-2.87875920925232,-48.6004751092376,-15,-15
0.00517777947617302,212.286329555494,-11.7826822517842,-10.6410800240701,-15,-15
0,0,0,-0.16814827215893,30,30
0.00251514334687189,441.820169096354,-12.0710845447252,-46.5933330906246,30,30
1,40.5883201790308,-40.5883201790308,-9.07432251025418,15,15
0,14.4276872626209,0,-14.0975036320006,-15,-15
0,0,0,-10.9184619467719,0,0
0,5.34021067687284,0,-12.9835854293903,-15,-15
0,3.2785960330897,0,-58.9285579679289,-30,-30
0,0,0,2.89332451176547,30,30
0,0,0,-8.89225802785323,0,0
0,0,0,-7.40916545627584,0,0
0,0,0,8.02543205493338,15,15
0.641728166715384,11.5281677144393,-11.5280238015766,-1.16908732425851,30,30
0,1.13504332952689,0,-0.423294158586226,-30,-30
0.734442528149109,2.14604162238488,-2.14604062839509,-3.14741150459126,15,15
0.216735951099285,4.2323790259589,-3.94425818107061,1.7562910302083,0,0
0.31412138680249,2.70102170548508,-2.65833939251801,-3.12849516574655,0,0
