learning Rate,Asymptote,ModelOutput,Endpoint,Rotation,Clamp_Trials
0,0,0,-10.090529939058,-30,-30
0,0,0,-4.19153997534349,-15,-15
0,0,0,4.30803052509853,0,0
0,0,0,-5.48186948680983,-15,-15
0,0,0,3.58032071460798,15,15
0,0,0,-3.05360234041724,0,0
0,0,0,-3.31159672899834,0,0
0,0,0,3.93230338861426,15,15
0,0,0,8.62570543655626,15,15
0,0,0,-5.96970435867501,-30,-30
0,0,0,-5.47950540374218,-30,-30
0.00377314513046228,37.9435199515062,-1.54545394262774,-6.89805116014155,0,0
0.00318364975203041,34.2064816903171,-1.1790282710995,-5.57689324795774,-30,-30
0,0,0,-2.06138972378178,0,0
0,0,0,7.92171118797151,30,30
0,0,0,-8.63992231976579,0,0
0,0,0,-3.99574195082563,0,0
0,0,0,5.30680177869777,30,30
0,0,0,-3.28477558339895,-15,-15
0,0,0,-7.66165650240778,-15,-15
0,0,0,5.60476582157624,30,30
0,0,0,6.675207403376,30,30
0,0,0,2.09133552086976,15,15
0,0,0,-5.85829505408702,-15,-15
1,3.04223760137982,-3.04223760137982,-8.27739212351991,0,0
0,0,0,-10.211375411268,-15,-15
0.0018658921178651,36.5157953036868,-0.742526632600862,-9.39112739695641,-30,-30
0,0,0,11.5112599181566,30,30
0,0,0,-4.091234661353,0,0
0,0,0,-7.44957726860982,0,0
0,0,0,-5.22157747908281,15,15
0,0,0,4.65671861181324,30,30
0,0,0,-9.18057630328909,-30,-30
0,0,0,3.45775049013962,15,15
0,0,0,-3.65921367590501,0,0
0,0,0,-2.7898905170964,0,0
