endpoints,SDs,rotationsize
-0.549648543720167,1.09426697347664,0
20.0028870056336,2.46063262793265,-30
12.3595773100492,2.02532879923864,-15
2.09747993660785,1.27958857954753,0
12.2820233782022,1.38520361756838,-15
-9.62806578649224,0.810904262123119,15
-0.293212285817799,0.795669320263638,0
0.984947271691744,0.33368326842328,0
-10.5436291791633,0.632258322899407,15
-13.1741419221736,1.14832449022414,15
16.5994380088407,1.75059341411474,-30
19.693535951964,1.76940833020125,-30
8.19919200405092,2.09320443098119,0
21.4537378230907,2.42337436348057,-30
2.32796510936352,1.06117331804723,0
-17.9834637840747,1.15161619644507,30
0.0967178790401488,1.43502864289863,0
0.404715734500553,0.85877176366727,0
-19.9147902316735,1.80646127721596,30
6.88316973905901,1.7729355507937,-15
9.8512713044366,1.05112031395667,-15
-18.7752159072669,1.20896874563729,30
-21.2676504498753,2.43155860503141,30
-13.281763806555,1.16251371770589,15
6.1264278269641,1.44575924226136,-15
3.26316801889536,4.39880941928557,0
9.53957153839739,2.62499955649667,-15
18.6487050165656,2.1619087845825,-30
-16.0831737603816,1.46146745984936,30
-0.571112294025704,1.25565239301322,0
2.25305027969735,2.42354194019905,0
-11.0763782248343,1.58282682582895,15
-21.6624365185076,1.91965761300931,30
12.3947500071387,2.84052350814562,-30
-9.10250172218136,1.76422587968095,15
-0.587231479942435,3.299816640811,0
-1.00874709687718,1.92008738514691,0
