endpoints,SDs,rotationsize
-2.43962628483575,1.9334968990793,0
-8.87693649656823,1.81647459695282,-30
-6.65092809059238,2.11046986608631,-15
-1.69797181311494,1.11237117272327,0
-9.63595391321172,2.60185558922056,-15
2.1670108371674,3.3683914665011,15
-5.05439884364039,2.35511304307688,0
-3.12895996330337,1.31485622691217,0
0.418171754825549,2.7753247832622,15
0.999738287014087,2.34959646796319,15
-9.96241800572807,2.02807801769932,-30
-9.63716314488719,0.692397827210682,-30
-5.52505838740086,2.02526937470077,0
-10.4551361527805,2.87273433724067,-30
-2.96994099958334,1.1167975673892,0
5.20940763461416,0.746544154093951,30
-4.85408906851424,2.50207181197708,0
-2.84421193795315,1.64142831556989,0
4.19007817827347,2.32359974777448,30
-6.95791200369879,2.7902798486308,-15
-8.68707889970665,1.38025681744147,-15
3.99193922666271,2.93942760184563,30
3.10929834298813,2.19056021818775,30
0.362113411267248,1.11465921677854,15
-7.46493459351073,2.70330713147422,-15
-5.05496283998069,1.24497564791605,0
-9.38667006885282,2.14933070691209,-15
-10.5824937269164,0.874129078503494,-30
2.75261623562742,2.81093720070113,30
-3.04627062306842,0.986544372170859,0
-5.14165266518538,2.42228963448293,0
0.827565337435804,1.33999177591832,15
3.67867832290662,2.549968934787,30
-7.75293721427228,2.70637995135675,-30
0.955013382487567,2.84792096440526,15
-2.38536540315736,2.20925103224709,0
-3.94808447143639,2.70891207586952,0
