lambda,N0
0.389465564497236,7.56921869688546
1,4.79498538547524
1,5.22886169154167
1,7.02130652040783
0.732620652431763,5.69771098957163
0.48693825738095,4.8689690849822
0.267806620722776,6.04564301340835
0.371395940307857,5.38792775506284
0.719065880313945,4.90422864712114
0.104978761988476,6.69470082787239
1,5.73032629847435
0.778508913974321,5.89389454496377
1,6.59441605954106
0.644732803774722,5.6764189246868
0.458310674556709,5.83630030506163
1,7.02837004662569
1,6.13299081691226
1,4.89618006583181
0.169509681591324,5.21775394830884
0.976886905919238,5.75290222133042
0.671010497854449,6.81055017330102
0.909104432668206,4.36734832383013
0.384700792823845,5.25948966618115
0.245589796395665,6.82418343798229
1,6.02194981695082
1,6.25349889733436
1,6.00735313010357
0.48758169663303,5.63443511843164
1,5.09226623769495
1,7.35269017253351
0.227751141230394,5.86172840831553
0.969518443395835,6.12649074075346
0.255997666606444,4.73973386643625
0.809188343382521,5.67341928527397
0.897517076436532,7.17525451431827
0.516706677137964,5.16006058077378
1,5.97315077859856
0.175493348456623,5.17697828125812
0.419899873438719,4.14773892666138
0.765776223963337,6.7291799023179
0.990156391888781,5.67290942671555
0.337691491483115,4.60388502420911
1,5.3153046590413
0.265539003136324,6.32358082634173
0.837200745295673,5.38901050918383
0.519527015936729,6.65639093724618
0.482427512932236,6.25693260866794
1,5.79833956101292
0.451374172809934,5.24539721040352
1,5.83758001649491
0.447937271540493,6.8815062380492
0.503577017934855,8.16022810748193
1,5.65241267932761
0.135432999192317,7.84618281954102
0.192973974148981,7.58233697250752
1,5.60353241287838
1,3.38143349458061
1,4.29370789304913
1,5.756664782835
0.689942230829874,4.99688997480926
0.511782611230721,5.16388984122793
0.767101308955434,5.3700506254856
0.66052397879404,5.76447840790591
0.927835827984896,5.14750042118937
0.282993885841199,5.99584654103797
1,5.52469645452599
0.404859985472783,4.81093856157999
1,5.77103510807427
1,5.78196339908315
0.531566269658464,5.00310820745453
1,6.51786030194449
1,7.04246145828548
0.735851374384451,4.9248908014529
1,4.97486172781826
1,4.79887256781351
1,3.57082026601399
0.68296092322874,5.83699451938028
0.696110052083777,7.33244597397208
0.655266262011993,6.03195401851668
1,5.88720302027531
0.6013296915448,4.86547018294923
1,5.77633308333657
0.901274519957628,5.68207414191604
1,4.8852719023273
0.308998318308678,2.81050854278954
1,6.53454414100575
0.630196699299087,5.50550074990932
1,5.35261942445797
0.642599533187233,5.42074252160809
