lambda,N0
0.418553491188329,4.80201596086714
0.380344871847554,4.94204962142235
0.113788912470077,5.28102286116957
0.981640100126464,7.44020845710475
1,4.86881195083059
0.583319527059623,4.4360539170939
1,4.23612582322419
1,5.71159981377418
1,4.93136684674002
1,3.51674664931271
1,3.99386253635551
1,5.21069450519215
0.607731127592291,5.93429613811492
0.369524623656082,6.5054640725393
0.481967728826385,6.31718011325801
0.378733069935282,5.82934830566361
0.775213386503425,6.91141491686529
1,5.36800353703615
0.360298429368731,5.20939512736588
0.445530050568804,4.77980585769659
0.486170770871474,4.16231025581268
0.284073126012253,6.08843033638585
1,3.99367985655654
0.998434365570019,6.15165225980764
1,6.46002147586687
1,4.07532017917348
0.247851449337361,5.96549969785102
1,5.63485426828131
0.323926581439185,4.3955448726073
1,5.43298278052369
0.336249321407908,4.22305871780427
0.324625337360917,3.5492069044409
0.376648286038301,5.36134582243161
0.992178859804858,4.66124634014851
1,3.66707365397263
0.445728902055047,5.09085533716369
0.410532802056059,4.77337663471106
0.377300814547043,5.01624774684705
1,5.90211545343375
1,5.14557071950787
0.599552223219897,5.45481140179868
1,5.22493360171074
0.47471829023456,6.41476746862963
0.627609557815828,6.28024417974138
1,5.59801089129362
1,4.20230447389899
1,5.16652490187478
1,4.35244988385748
0.675972566750466,7.6799867096205
0.91958907155061,6.30208772550239
0.724489256401358,5.79591076415215
0.675377976544095,6.37572041588985
0.787076922171144,7.49736078778601
1,4.30088625491716
0.0736304488858096,10.050623647852
0.731873215801479,6.84885916257871
0.542902067250732,6.40036230996656
0.0391095021297617,14.6885703881623
1,5.90931807109183
0.441965850309224,6.75611782219276
1,4.50966812987668
0.416142964706623,6.40652522619732
0.341449842042077,4.65414170932593
0.356652615492608,4.15946464071296
0.317323773110066,5.97236908049609
0.590024722620947,5.77749448645792
1,6.55065464665547
0.149862533548321,6.62237051779164
0.958723964077151,5.07157813566999
1,3.86642975592813
0.864766683751251,4.46610313035427
0.571981194955501,5.7511612560373
1,4.98099490644665
1,5.06444647768595
0.830878409026347,6.05375836007766
1,5.5505713001666
0.957657766547918,5.93807565642311
0.490189488031496,4.71188132230715
0.335252496892575,3.26590915542622
0.279781806626547,5.87753126367615
1,4.56392994755331
0.561738786238758,6.12581420792368
0.43732830903234,5.33839237013408
0.339258805172671,4.90173542608184
0.598440308364914,5.41667217457933
0.641348680556048,5.1066673763347
0.598638516269471,6.41832654942432
0.37486182361139,4.91885115817849
0.340931909400164,5.46297848845814
0.68718808184881,5.48765393881558
0.962181481839766,5.08969235574428
1,5.24370342362251
1,7.08024726241388
0.445717322366625,6.78059749191736
0.556182361038615,5.29704922237506
0.798125889436333,4.72165267422548
1,2.87404760091788
0.696141688539685,6.14311635981997
0.451359642703418,4.51865261747652
0.283272853023366,7.02235326089656
